time,theta_PID3_noload,theta_PID3,theta_ref,Volt_PID3_noload,Volt_PID3,torque
0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.05,0,0,0,0,0,0
0.06,0,0,0,0,0,0
0.07,0,0,0,0,0,0
0.08,0,0,0,0,0,0
0.09,0,0,0,0,0,0
0.1,0,0,0,0,0,0
0.11,0,0,0,0,0,0
0.12,0,0,0,0,0,0
0.13,0,0,0,0,0,0
0.14,0,0,0,0,0,0
0.15,0,0,0,0,0,0
0.16,0,0,0,0,0,0
0.17,0,0,0,0,0,0
0.18,0,0,0,0,0,0
0.19,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.21,0,0,0,0,0,0
0.22,0,0,0,0,0,0
0.23,0,0,0,0,0,0
0.24,0,0,0,0,0,0
0.25,0,0,0,0,0,0
0.26,0,0,0,0,0,0
0.27,0,0,0,0,0,0
0.28,0,0,0,0,0,0
0.29,0,0,0,0,0,0
0.3,0,0,0,0,0,0
0.31,0,0,0,0,0,0
0.32,0,0,0,0,0,0
0.33,0,0,0,0,0,0
0.34,0,0,0,0,0,0
0.35,0,0,0,0,0,0
0.36,0,0,0,0,0,0
0.37,0,0,0,0,0,0
0.38,0,0,0,0,0,0
0.39,0,0,0,0,0,0
0.4,0,0,0,0,0,0
0.41,0,0,0,0,0,0
0.42,0,0,0,0,0,0
0.43,0,0,0,0,0,0
0.44,0,0,0,0,0,0
0.45,0,0,0,0,0,0
0.46,0,0,0,0,0,0
0.47,0,0,0,0,0,0
0.48,0,0,0,0,0,0
0.49,0,0,0,0,0,0
0.5,0,0,0,0,0,0
0.51,0,0,0,0,0,0
0.52,0,0,0,0,0,0
0.53,0,0,0,0,0,0
0.54,0,0,0,0,0,0
0.55,0,0,0,0,0,0
0.56,0,0,0,0,0,0
0.57,0,0,0,0,0,0
0.58,0,0,0,0,0,0
0.59,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.61,0,0,0,0,0,0
0.62,0,0,0,0,0,0
0.63,0,0,0,0,0,0
0.64,0,0,0,0,0,0
0.65,0,0,0,0,0,0
0.66,0,0,0,0,0,0
0.67,0,0,0,0,0,0
0.68,0,0,0,0,0,0
0.69,0,0,0,0,0,0
0.7,0,0,0,0,0,0
0.71,0,0,0,0,0,0
0.72,0,0,0,0,0,0
0.73,0,0,0,0,0,0
0.74,0,0,0,0,0,0
0.75,0,0,0,0,0,0
0.76,0,0,0,0,0,0
0.77,0,0,0,0,0,0
0.78,0,0,0,0,0,0
0.79,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.81,0,0,0,0,0,0
0.82,0,0,0,0,0,0
0.83,0,0,0,0,0,0
0.84,0,0,0,0,0,0
0.85,0,0,0,0,0,0
0.86,0,0,0,0,0,0
0.87,0,0,0,0,0,0
0.88,0,0,0,0,0,0
0.89,0,0,0,0,0,0
0.9,0,0,0,0,0,0
0.91,0,0,0,0,0,0
0.92,0,0,0,0,0,0
0.93,0,0,0,0,0,0
0.94,0,0,0,0,0,0
0.95,0,0,0,0,0,0
0.96,0,0,0,0,0,0
0.97,0,0,0,0,0,0
0.98,0,0,0,0,0,0
0.99,0,0,0,0,0,0
1,0,0,90,24,24,4.5
1.01,0.0572957795130823,-0.071585346923645,90,24,24,4.5
1.02,0.385013749673281,-0.126183635131539,90,24,24,4.5
1.03,1.16810160607142,0.0299895430321006,90,24,24,4.5
1.04,2.51855801347426,0.5212021904278,90,24,24,4.5
1.05,4.49663189617991,1.42195210556861,90,24,24,4.5
1.06,7.12635987513203,2.77148003323917,90,24,24,4.5
1.07,10.4069094290344,4.58440223520874,90,24,24,4.5
1.08,14.320819289259,6.8584687765878,90,22.9040659356053,24,4.5
1.09,18.8326772036031,9.58019591630114,90,21.4691361131661,24,4.5
1.1,23.8883262831174,12.7289288783892,90,19.8836236961668,23.3281716485826,4.5
1.11,29.4198121056515,16.2761231260127,90,18.1684390617401,22.2199932444759,4.5
1.12,35.3497861428411,20.1805484500663,90,16.3472462791077,21.0170890239195,4.5
1.13,41.5952413546914,24.3922083899952,90,14.4452925120439,19.7346281714305,4.5
1.14,48.0704481605622,28.8549782003824,90,12.4884961129793,18.3895749045257,4.5
1.15,54.6892919611432,33.5092579267327,90,10.5027280847657,16.9998579829203,4.5
1.16,61.3671528481317,38.2940443142515,90,8.5132411184902,15.58372798784,4.5
1.17,68.0224259643523,43.1485673044766,90,6.54421403471672,14.1592550557742,4.5
1.18,74.5777517337257,48.0135932753366,90,4.61838891142683,12.7439338204236,4.5
1.19,80.961005030308,52.8324667963745,90,2.75678471073203,11.3543721302088,4.5
1.2,87.1060785873385,57.5519415899853,90,0.978475691210963,10.0060469268749,4.5
1.21,92.953486644754,62.1228368484917,90,-0.699574069672018,8.71311538339937,4.5
1.22,98.4508086423544,66.5005451038985,90,-2.26262668228884,7.4882726351218,4.5
1.23,103.552988727965,70.6454111031244,90,-3.6982422768365,6.34264964072222,4.5
1.24,108.222504288239,74.522996631805,90,-4.99631108916976,5.28574619302561,4.5
1.25,112.429415145488,78.1042432655672,90,-6.14904968331807,4.32539508514879,4.5
1.26,116.151304158971,81.3655431222516,90,-7.1509648611566,3.46775408170098,4.5
1.27,119.373119485212,84.2887264981132,90,-7.99878861436756,2.71732275800791,4.5
1.28,122.086928521731,86.860974553095,90,-8.69138736201996,2.07698153045471,4.5
1.29,124.291593465297,89.0746647941801,90,-9.22964865153978,1.54805036271363,4.5
1.3,125.99237837875,90.9271568720139,90,-9.61634845585076,1.13036473410168,4.5
1.31,127.200497624748,92.4205260711946,90,-9.856002157642,0.822366524183376,4.5
